dataset,seed,variant,rules,avg_conditions,total_conditions,gap_accuracy,gap_macro_f1,test_accuracy,train_accuracy,test_precision,train_precision,test_recall,train_recall,test_f1,train_f1,test_macro_f1,train_macro_f1
car_evaluation.csv,0,classic,140.0,4.6571428571428575,652.0,0.11849710982658956,0.2988979405795895,0.8815028901734104,1.0,0.877401030605627,1.0,0.8815028901734105,1.0,0.8749316409694871,1.0,0.7011020594204105,1.0
car_evaluation.csv,0,validation,154.0,4.811688311688312,741.0,0.16473988439306353,0.43798591549295773,0.8352601156069365,1.0,0.8232259204701738,1.0,0.8352601156069365,1.0,0.8272842139542458,1.0,0.5620140845070423,1.0
car_evaluation.csv,1,classic,151.0,4.741721854304636,716.0,0.14739884393063585,0.3448028426271278,0.8526011560693642,1.0,0.8508158219785036,1.0,0.8526011560693643,1.0,0.8421969354783901,1.0,0.6551971573728722,1.0
car_evaluation.csv,1,validation,175.0,4.868571428571428,852.0,0.13005780346820806,0.3141332237307469,0.869942196531792,1.0,0.8669655188559944,1.0,0.869942196531792,1.0,0.86177938104959,1.0,0.6858667762692531,1.0
car_evaluation.csv,2,classic,141.0,4.695035460992908,662.0,0.11560693641618502,0.3052549409425799,0.884393063583815,1.0,0.881434900997625,1.0,0.8843930635838151,1.0,0.8788923311541834,1.0,0.6947450590574201,1.0
car_evaluation.csv,2,validation,164.0,4.878048780487805,800.0,0.11271676300578037,0.3050711647530733,0.8872832369942196,1.0,0.8792150878930828,1.0,0.8872832369942197,1.0,0.8798411327541747,1.0,0.6949288352469267,1.0
car_evaluation.csv,3,classic,157.0,4.777070063694268,750.0,0.1445086705202312,0.40165881051963204,0.8554913294797688,1.0,0.8450545921644189,1.0,0.8554913294797688,1.0,0.8426732690190233,1.0,0.598341189480368,1.0
car_evaluation.csv,3,validation,181.0,4.900552486187845,887.0,0.12716763005780352,0.40718517825541234,0.8728323699421965,1.0,0.8584808715357304,1.0,0.8728323699421966,1.0,0.8615655041757464,1.0,0.5928148217445877,1.0
car_evaluation.csv,4,classic,162.0,4.765432098765432,772.0,0.11560693641618502,0.28616283355447447,0.884393063583815,1.0,0.881872070284416,1.0,0.884393063583815,1.0,0.8763382188896247,1.0,0.7138371664455255,1.0
car_evaluation.csv,4,validation,177.0,4.915254237288136,870.0,0.10115606936416188,0.2473373081322746,0.8988439306358381,1.0,0.8975445960194849,1.0,0.8988439306358382,1.0,0.8931893354587542,1.0,0.7526626918677254,1.0
mushrooms.csv,0,classic,32.0,3.40625,109.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mushrooms.csv,0,validation,25.0,3.28,82.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mushrooms.csv,1,classic,28.0,3.4642857142857144,97.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mushrooms.csv,1,validation,28.0,3.4642857142857144,97.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mushrooms.csv,2,classic,26.0,3.1923076923076925,83.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mushrooms.csv,2,validation,25.0,3.12,78.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mushrooms.csv,3,classic,24.0,3.3333333333333335,80.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mushrooms.csv,3,validation,31.0,3.5161290322580645,109.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mushrooms.csv,4,classic,27.0,3.4814814814814814,94.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mushrooms.csv,4,validation,26.0,3.3846153846153846,88.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
