dataset,seed,variant,rules,avg_conditions,total_conditions,gap_accuracy,gap_macro_f1,test_accuracy,train_accuracy,test_precision,train_precision,test_recall,train_recall,test_f1,train_f1,test_macro_f1,train_macro_f1
nursery.csv,0,classic,463.0,5.168466522678186,2393.0,0.035493182088841335,0.1013954837407045,0.9594907407407407,0.994983922829582,0.9603504952786862,0.9950582774512643,0.9594907407407408,0.9949839228295819,0.9590150251976262,0.9949833994485918,0.8955759907787433,0.9969714745194478
nursery.csv,0,validation,475.0,5.252631578947368,2495.0,0.03472083283712446,0.1080378325524074,0.9544753086419753,0.9891961414790997,0.9558638273811619,0.9895352760515047,0.9544753086419754,0.9891961414790996,0.9538125897163686,0.9891921733602075,0.8854371204511151,0.9934749530035225
nursery.csv,1,classic,463.0,5.211663066954643,2413.0,0.028548489539915067,0.2553303783968849,0.9645061728395061,0.9930546623794212,0.9667465219721499,0.9931964039635147,0.9645061728395062,0.9930546623794211,0.9646657260942658,0.9930534468796158,0.7404759064778205,0.9958062848747053
nursery.csv,1,validation,475.0,5.28421052631579,2510.0,0.02456145051804215,0.06377160065516707,0.9652777777777778,0.9898392282958199,0.9664456077243396,0.9901397528052284,0.9652777777777777,0.9898392282958198,0.9650566622382648,0.9898358699400912,0.930092010531883,0.99386361118705
nursery.csv,2,classic,470.0,5.206382978723404,2447.0,0.03382115636536864,0.2793436571553295,0.9594907407407407,0.9933118971061093,0.960768249465723,0.9934434331690755,0.9594907407407407,0.9933118971061093,0.9591563741188498,0.9933107962024089,0.7166180022447438,0.9959616594000733
nursery.csv,2,validation,485.0,5.265979381443299,2554.0,0.02880557540391404,0.2742656265828092,0.9633487654320988,0.9921543408360128,0.9639139239773297,0.992334734808498,0.9633487654320988,0.9921543408360128,0.9627392186672069,0.9921556787192193,0.7209943193762263,0.9952599459590354
nursery.csv,3,classic,469.0,5.166311300639659,2423.0,0.03742224405541672,0.2719827937806092,0.9579475308641975,0.9953697749196142,0.9606717343221098,0.9954332026604412,0.9579475308641975,0.9953697749196143,0.9581347779703075,0.995370235697593,0.7252200694251312,0.9972028632057404
nursery.csv,3,validation,487.0,5.262833675564682,2563.0,0.031506043825175745,0.25768659720103126,0.9594907407407407,0.9909967845659164,0.9618507889582145,0.991233533281313,0.9594907407407406,0.9909967845659163,0.9597644263701901,0.9910070370648768,0.7368668989167307,0.994553496117762
nursery.csv,4,classic,464.0,5.206896551724138,2416.0,0.04179453971656544,0.2849633334111751,0.9525462962962963,0.9943408360128617,0.9561249272285525,0.9944352985376849,0.9525462962962963,0.9943408360128617,0.952872210090881,0.9943401228949332,0.7116197739762754,0.9965831073874505
nursery.csv,4,validation,484.0,5.285123966942149,2558.0,0.034206809971815355,0.09729557029693714,0.9579475308641975,0.9921543408360128,0.961025279892687,0.992334734808498,0.9579475308641974,0.9921543408360128,0.9583141382748351,0.99215266345374,0.8979668611341964,0.9952624314311336
